Sample_ID,Species,Genus,Family,Order,Type,State,Lat,Lon,GPL_lineage,Collection_year
DB_I_58,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72545,-114.71519,1,2018
DB_I_6,Hyliola cadaverina,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72652,-114.71307,1,2018
DB_I_60,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72545,-114.71519,1,2018
DB_I_61,Hyliola cadaverina,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72652,-114.71307,1,2018
DB_I_62,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,28.61227,-114.05106,1,2018
DB_I_63,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,28.61227,-114.05106,1,2018
DB_I_64,Lithobates montezumae,Lithobates,Ranidae,Anura,Isolate,Mexico City,19.318231,-99.194274,1,2017
DB_I_65,Lithobates montezumae,Lithobates,Ranidae,Anura,Isolate,Mexico City,19.318231,-99.194274,1,2017
DB_I_67,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Michoacán,19.649917,-101.222854,1,2017
DB_I_68,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Michoacán,19.649917,-101.222854,1,2017
DB_I_7,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,31.0671,-115.50526,1,2018
DB_I_70,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Michoacán,19.649917,-101.222854,1,2017
DB_I_71,Scinax staufferi,Scinax,Hylidae,Anura,Isolate,Veracruz,18.873639,-97.016778,1,2017
DB_I_72,Scinax staufferi,Scinax,Hylidae,Anura,Isolate,Veracruz,18.873639,-97.016778,1,2017
DB_I_73,Craugastor rhodopis,Craugastor,Craugastoridae,Anura,Isolate,Veracruz,19.442083,-97.040972,1,2017
DB_I_74,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,30.90157,-115.48296,1,2018
DB_I_75,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,30.89392,-115.48181,1,2018
DB_I_76,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,28.61227,-114.05106,1,2018
DB_I_77,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,28.61227,-114.05106,1,2018
DB_I_78,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72545,-114.71519,1,2018
DB_I_8,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,31.0671,-115.50526,1,2018
DB_I_80,Hyliola cadaverina,Hyliola,Hylidae,Anura,Isolate,Baja California,29.72652,-114.71307,1,2018
DB_I_81,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,31.894624,-116.68947,1,2018
DB_I_83,Craugastor pygmaeus,Craugastor,Craugastoridae,Anura,Isolate,Oaxaca,15.96235,-96.569606,1,2017
DB_I_84,Lithobates catesbeiana,Lithobates,Ranidae,Anura,Isolate,Veracruz,21.17545,-97.8476,1,2018
DB_I_85,Leptodactylus melanonotus,Leptodactylus,Leptodactylidae,Anura,Isolate,Colima,19.46363,-103.71013,1,2018
DB_I_86,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Colima,19.46363,-103.71013,1,2018
DB_I_87,Lithobates sp.,Lithobates,Ranidae,Anura,Isolate,Colima,19.46363,-103.71013,1,2018
DB_I_88,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Michoacán,19.68175,-100.22956,1,2017
DB_I_89,Ambystoma rivulare,Ambystoma,Ambystomatidae,Urodela,Isolate,Michoacán,19.6088,-100.244465,1,2018
DB_I_9,Hyliola regilla,Hyliola,Hylidae,Anura,Isolate,Baja California,31.894624,-116.68947,1,2018
DB_I_90,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Michoacán,19.6088,-100.244465,1,2017
DB_I_93,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Guanajuato,20.97199,-101.26006,1,2018
DB_I_94,Lithobates neovolcanicus,Lithobates,Ranidae,Anura,Isolate,Guanajuato,20.97199,-101.26006,1,2018
DB_I_95,Hyla arenicolor,Hyla,Hylidae,Anura,Isolate,Guanajuato,20.97199,-101.26006,1,2018
DB_I_96,Hyla arenicolor,Hyla,Hylidae,Anura,Isolate,Guanajuato,20.97199,-101.26006,1,2018
DB_I_98,Pseudoeurycea leprosa,Pseudoeurycea,Plethodontidae,Urodela,Isolate,Tlaxcala,19.246353,-97.994952,1,2016
DB_I_99,Lithobates berlandieri,Lithobates,Ranidae,Anura,Isolate,Hidalgo,21.07361111,-99.14166667,1,2018
DB_M_266,Pseudoeurycea nigromaculata,Pseudoeurycea,Plethodontidae,Urodela,Museum swab,Veracruz,18.8425,-97.01305556,1,1981
DB_M_284,Pseudoeurycea rex,Pseudoeurycea,Plethodontidae,Urodela,Museum swab,Chiapas,15.52621,-92.34196,1,1975
